Time,chn_1
58:39.6,0.000485783
03:39.7,0.000507348
08:39.7,0.000546724
13:39.7,0.000524386
18:39.7,0.000519506
23:39.7,0.000494096
28:39.7,0.000510553
33:39.7,0.000523589
38:39.7,0.000521858
43:39.7,0.000525452
48:39.7,0.000523047
53:39.7,0.000525695
58:39.7,0.000521666
03:39.2,0.000525776
08:39.2,0.000525808
13:39.2,0.00053761
18:39.2,0.000539341
23:39.2,0.000537407
28:39.2,0.000538429
33:39.2,0.00053558
38:39.2,0.00055189
43:39.2,0.0005154
48:39.2,0.000503671
53:39.2,0.000525219
58:39.2,0.000513741
03:38.7,0.000521765
08:38.7,0.000528439
13:38.7,0.000525629
18:38.7,0.000534463
23:38.7,0.00054538
28:38.7,0.000548638
33:38.7,0.000559532
38:38.7,0.000561152
43:38.7,0.000558683
48:38.7,0.000558251
53:38.7,0.000558522
58:38.7,0.000560232
03:38.2,0.000567207
08:38.2,0.000571786
13:38.2,0.000575935
18:38.2,0.000569696
23:38.2,0.000625154
28:38.2,0.000709203
33:38.2,0.000738116
38:38.2,0.000705961
43:38.2,0.000750616
48:38.2,0.00078994
53:38.2,0.000774265
58:38.2,0.000774411
03:37.7,0.000756096
08:37.7,0.000740102
13:37.7,0.000731381
18:37.7,0.0007127
23:37.7,0.000709081
28:37.7,0.000715619
33:37.7,0.000657745
38:37.7,0.000674406
43:37.7,0.000628559
48:37.7,0.000623621
53:37.7,0.000611003
58:37.7,0.000574925
03:37.3,0.000566846
08:37.3,0.000558878
13:37.3,0.000562701
18:37.3,0.000568591
23:37.2,0.000568818
28:37.3,0.000557739
33:37.3,0.000557415
38:37.3,0.000506248
43:37.3,0.000589765
48:37.3,0.000596098
53:37.3,0.000579515
58:37.3,0.000596085
03:36.8,0.000578755
08:36.8,0.000584263
13:36.8,0.000578782
18:36.8,0.00054477
23:36.8,0.000117484
28:36.8,0.000245987
33:36.8,0.00034715
38:36.9,0.0014
43:36.9,0.002444582
48:36.9,0.010705912
53:36.9,0.027208731
58:36.9,0.050576277
03:36.4,0.092574626
08:36.3,0.183656603
13:36.3,0.259
18:36.3,0.279916316
23:36.3,0.280831009
28:36.3,0.286756873
33:36.3,0.305664271
38:36.3,0.356047601
43:36.3,0.356701255
48:36.3,0.356212795
53:36.3,0.35530287
58:36.3,0.354288012
03:35.8,0.353597879
08:35.8,0.353032619
13:35.8,0.352717668
18:35.8,0.352535218
23:35.8,0.352590948
28:35.8,0.352834374
33:35.8,0.353844136
38:35.8,0.355835497
43:35.8,0.35941577
48:35.8,0.364996135
53:35.8,0.371723562
58:35.8,0.377408773
03:35.3,0.38137424
08:35.3,0.384130269
13:35.3,0.385989934
18:35.3,0.387176603
23:35.3,0.387765378
28:35.3,0.387986809
33:35.3,0.388098955
38:35.3,0.388152868
43:35.3,0.388188809
48:35.3,0.389023274
53:35.3,0.388926357
58:35.3,0.38890329
03:34.8,0.388616145
08:34.8,0.388461053
13:34.8,0.388269126
18:34.8,0.387977958
23:34.8,0.388102472
28:34.8,0.388331115
33:34.8,0.388248563
38:34.8,0.388369203
43:34.8,0.388108492
48:34.8,0.388221502
53:34.8,0.388172477
58:34.8,0.388947666
03:34.3,0.388983071
08:34.3,0.388982415
13:34.3,0.389059991
18:34.3,0.389003903
23:34.3,0.389122605
28:34.3,0.389199018
33:34.3,0.389234364
38:34.3,0.389041007
43:34.3,0.388962895
48:34.3,0.388705522
53:34.3,0.389569402
58:34.3,0.389546633
03:33.8,0.389477789
08:33.8,0.389254451
13:33.8,0.389267802
18:33.8,0.389085829
23:33.8,0.38893491
28:33.8,0.388779551
33:33.8,0.388869822
38:33.8,0.388827264
43:33.8,0.388745427
48:33.8,0.388687015
53:33.8,0.388537854
58:33.8,0.388526738
03:33.3,0.388557822
08:33.3,0.38874054
13:33.3,0.388867736
18:33.3,0.391172469
23:33.3,0.391340524
28:33.3,0.391452044
33:33.3,0.391421646
38:33.3,0.391280174
43:33.3,0.390969902
48:33.3,0.391140491
53:33.3,0.391201049
58:33.3,0.391237646
03:32.8,0.391299635
08:32.8,0.39129442
13:32.8,0.391378164
18:32.8,0.391380191
23:32.8,0.391386032
28:32.8,0.391402453
33:32.8,0.391420811
38:32.8,0.391523212
43:32.8,0.391677201
48:32.8,0.391702145
53:32.8,0.391802877
58:32.8,0.391984969
03:32.3,0.392039776
08:32.3,0.392075807
13:32.3,0.392228484
18:32.3,0.392340332
23:32.3,0.39246434
28:32.3,0.392686009
33:32.3,0.392873853
38:32.3,0.393085539
43:32.3,0.393206656
48:32.3,0.393268257
53:32.3,0.393516213
58:32.3,0.393648595
03:31.7,0.393856823
08:31.7,0.393957853
13:31.8,0.394062728
18:31.7,0.394242585
23:31.7,0.394153416
28:31.7,0.394302517
33:31.8,0.394477248
38:31.7,0.394701779
43:31.8,0.39484331
48:31.7,0.395013601
53:31.7,0.395181835
58:31.8,0.395452112
03:31.3,0.395698428
08:31.2,0.395969748
13:31.2,0.396350443
18:31.3,0.39656648
23:31.2,0.396750808
28:31.2,0.396987826
33:31.3,0.397160888
38:31.2,0.397422999
43:31.2,0.397712082
48:31.3,0.397855461
53:31.2,0.397974223
58:31.2,0.3981888
03:30.7,0.398479253
08:30.7,0.398711175
13:30.7,0.398949236
18:30.7,0.399169058
23:30.7,0.399396807
28:30.7,0.399552584
33:30.8,0.399871409
38:30.7,0.400058597
43:30.7,0.40008238
48:30.7,0.400201917
53:30.7,0.400129914
58:30.7,0.400376916
03:30.2,0.400387615
08:30.3,0.400412709
13:30.2,0.400467873
18:30.2,0.400414556
23:30.2,0.400342971
28:30.2,0.400468171
33:30.2,0.4004381
38:30.2,0.400419712
43:30.2,0.400463313
48:30.2,0.400363535
53:30.2,0.40022403
58:30.2,0.400090665
03:29.7,0.399934769
08:29.7,0.399765551
13:29.7,0.399600536
18:29.7,0.399416208
23:29.7,0.399218291
28:29.7,0.399155915
33:29.7,0.398947299
38:29.7,0.398989886
43:29.7,0.399316132
48:29.7,0.39929387
53:29.7,0.399213076
58:29.7,0.399143279
03:29.2,0.399359733
08:29.2,0.399660438
13:29.3,0.399626315
18:29.2,0.399672061
23:29.2,0.399788171
28:29.2,0.399870872
33:29.2,0.399999976
38:29.2,0.400070637
43:29.2,0.400233269
48:29.2,0.400442749
53:29.2,0.400737822
58:29.2,0.400963187
03:28.7,0.401250929
08:28.7,0.401255369
13:28.7,0.401496172
18:28.7,0.401772112
23:28.7,0.402123541
28:28.7,0.402362704
33:28.8,0.402600765
38:28.7,0.402780235
43:28.7,0.403092593
48:28.7,0.403581709
53:28.7,0.403843105
58:28.7,0.404135853
03:28.3,0.4042705
08:28.2,0.404293716
13:28.3,0.404428512
18:28.2,0.404482812
23:28.3,0.404550076
28:28.3,0.404921263
33:28.3,0.404959351
38:28.2,0.405118018
43:28.3,0.405261964
48:28.3,0.405350029
53:28.2,0.405416042
58:28.3,0.405587941
03:27.8,0.40586555
08:27.8,0.406070381
13:27.8,0.406262457
18:27.8,0.406527162
23:27.8,0.406689197
28:27.8,0.406841308
33:27.8,0.40694961
38:27.8,0.40710333
43:27.8,0.407303452
48:27.8,0.407299012
53:27.8,0.407344699
58:27.8,0.407407403
03:27.3,0.407710761
08:27.3,0.407829195
13:27.3,0.408082575
18:27.3,0.408285946
23:27.3,0.40847525
28:27.3,0.408667922
33:27.3,0.408827364
38:27.3,0.409016192
43:27.3,0.409103721
48:27.3,0.409196764
53:27.3,0.409322947
58:27.3,0.409512043
03:26.8,0.40965721
08:26.8,0.409890682
13:26.9,0.409970433
18:26.8,0.409985363
23:26.8,0.40997237
28:26.8,0.410183847
33:26.8,0.41034463
38:26.8,0.410370708
43:26.8,0.410415471
48:26.8,0.410544604
53:26.8,0.410663337
58:26.8,0.410761297
03:26.3,0.410839081
08:26.3,0.410801679
13:26.3,0.410907358
18:26.3,0.410986781
